old_name,new_name
IMG_20260220_235541_jpg.rf.1cc1b593307047c680a1373d6f0a721c.jpg,garpu_aug_0001.jpg
IMG_20260220_235541_jpg.rf.3fed8c2d7b2631ff7b71b78406f31250.jpg,garpu_aug_0002.jpg
IMG_20260220_235541_jpg.rf.add8ea40cbeb324a7ca360480eacc4f3.jpg,garpu_aug_0003.jpg
IMG_20260220_235546_jpg.rf.2edb9c9e3d2f24eb7c19fdd13625c3e3.jpg,garpu_aug_0004.jpg
IMG_20260220_235546_jpg.rf.66a62ce1708d4ef34ae6ebcc05564fbb.jpg,garpu_aug_0005.jpg
IMG_20260220_235546_jpg.rf.f0bfadde7eb99fe5a44abd6e446b0a1e.jpg,garpu_aug_0006.jpg
IMG_20260220_235555_jpg.rf.340804eb790230c8ed9b16418ecdee64.jpg,garpu_aug_0007.jpg
IMG_20260220_235555_jpg.rf.ac2ad22055f285b291f569a352f8f169.jpg,garpu_aug_0008.jpg
IMG_20260220_235555_jpg.rf.e4b1b628c7086b08dd5fd9ca09eb8421.jpg,garpu_aug_0009.jpg
IMG_20260220_235601_jpg.rf.37d1915b3230f5cbe78904297ed2bd58.jpg,garpu_aug_0010.jpg
IMG_20260220_235601_jpg.rf.84e580eb05959a938e428893267188f3.jpg,garpu_aug_0011.jpg
IMG_20260220_235601_jpg.rf.8ce81b8c0f0c95c8085ab32426640cc2.jpg,garpu_aug_0012.jpg
IMG_20260220_235613_jpg.rf.1bd50becfe6a484e624a02b4181f8efb.jpg,garpu_aug_0013.jpg
IMG_20260220_235613_jpg.rf.b683a6656c81e8018716d7c413ecc8d4.jpg,garpu_aug_0014.jpg
IMG_20260220_235613_jpg.rf.cc9358e9ae19bfa84892a4002bf65893.jpg,garpu_aug_0015.jpg
IMG_20260220_235628_jpg.rf.1253c3c2b7f4635b3c1995b9644de96d.jpg,garpu_aug_0016.jpg
IMG_20260220_235628_jpg.rf.64320c93cd5e44e2c46a25680af21084.jpg,garpu_aug_0017.jpg
IMG_20260220_235628_jpg.rf.e321b3bf71097865cfa483597fcb774c.jpg,garpu_aug_0018.jpg
IMG_20260220_235659_jpg.rf.c640e78e0f3b6e5be36ed041f32ea41f.jpg,garpu_aug_0019.jpg
IMG_20260220_235659_jpg.rf.cacb97e88b7da72f26506831a8a7fbe9.jpg,garpu_aug_0020.jpg
IMG_20260220_235659_jpg.rf.d38bf85d39ab512464b374cf23613f29.jpg,garpu_aug_0021.jpg
IMG_20260220_235704_jpg.rf.8047766b8b67ac7b04eea44e6496b7f0.jpg,garpu_aug_0022.jpg
IMG_20260220_235704_jpg.rf.9b703c45b84755391cbbd59117581943.jpg,garpu_aug_0023.jpg
IMG_20260220_235704_jpg.rf.b5ed5dac1308f6f17b5125a19080aae9.jpg,garpu_aug_0024.jpg
IMG_20260220_235756_jpg.rf.47fa98e4da0ffcb6e0e88a492f955176.jpg,garpu_aug_0025.jpg
IMG_20260220_235756_jpg.rf.7987a584c2392c401ea8d89e99fc8012.jpg,garpu_aug_0026.jpg
IMG_20260220_235756_jpg.rf.9ec28e2e0d9c80af8829707876699f0c.jpg,garpu_aug_0027.jpg
IMG_20260220_235801_jpg.rf.775aef131b3ee9baf7ca58198ab5cf15.jpg,garpu_aug_0028.jpg
IMG_20260220_235801_jpg.rf.f30c950a74c3b4748a906289a211ce29.jpg,garpu_aug_0029.jpg
IMG_20260220_235801_jpg.rf.fd0761107664a40509b40996de815bda.jpg,garpu_aug_0030.jpg
IMG_20260220_235809_jpg.rf.06029823d9cb830ba2062fd8e0aefea1.jpg,garpu_aug_0031.jpg
IMG_20260220_235809_jpg.rf.cc9d4640ec4e8edd270908a400eebc1c.jpg,garpu_aug_0032.jpg
IMG_20260220_235809_jpg.rf.d8bcd61d28053c269a115c9804be84fe.jpg,garpu_aug_0033.jpg
IMG_20260220_235814_jpg.rf.83a9bfb32382e80689eae2f35fd047b5.jpg,garpu_aug_0034.jpg
IMG_20260220_235814_jpg.rf.dc786f8d82407d60e62a6b58a45895c1.jpg,garpu_aug_0035.jpg
IMG_20260220_235814_jpg.rf.dd7dcf023762af5a0085cecda064901f.jpg,garpu_aug_0036.jpg
IMG_20260220_235819_jpg.rf.5a0dbce07c1aaebd818ff1e90aec98fb.jpg,garpu_aug_0037.jpg
IMG_20260220_235819_jpg.rf.8f6ef2c5542bdff7e8b8b2ae6a7720fb.jpg,garpu_aug_0038.jpg
IMG_20260220_235819_jpg.rf.fb230d08af98734c943fa5c2206dd0fe.jpg,garpu_aug_0039.jpg
IMG_20260220_235833_jpg.rf.51b928647fbe3112104a2c6f869d5532.jpg,garpu_aug_0040.jpg
IMG_20260220_235833_jpg.rf.9ca279fb99b522b886a08952e38799ab.jpg,garpu_aug_0041.jpg
IMG_20260220_235833_jpg.rf.de1827d4fc71aab377d75eef5e9ec70d.jpg,garpu_aug_0042.jpg
IMG_20260220_235839_jpg.rf.1ab95cc6e444abbc1a369cbba36d9ec8.jpg,garpu_aug_0043.jpg
IMG_20260220_235839_jpg.rf.2889351146ced433b8a9f250cb7adb5f.jpg,garpu_aug_0044.jpg
IMG_20260220_235839_jpg.rf.52fd66d6f9ea69182949e8b820a0f3a6.jpg,garpu_aug_0045.jpg
IMG_20260220_235843_jpg.rf.208018e0c7f0e841798f695678a07de7.jpg,garpu_aug_0046.jpg
IMG_20260220_235843_jpg.rf.af76fa996bffe8799fa7229218d25948.jpg,garpu_aug_0047.jpg
IMG_20260220_235843_jpg.rf.fbc32ea0698109de3a0e8a191e33e9e0.jpg,garpu_aug_0048.jpg
IMG_20260220_235920_jpg.rf.03c0a3ef27200be13cdb77e223b342c9.jpg,garpu_aug_0049.jpg
IMG_20260220_235920_jpg.rf.b393e85e5420eb63c3c01cfedaac8741.jpg,garpu_aug_0050.jpg
